,label,Ticker,price1,price2,std,z/s,dps,z/s dyw
ALIOR,A,ALR,78.8351,110.45,0.0231671359564646,0.4010256852594847,0.0,0.40102568525948473
ALLEGRO,B,ALE,28.24,31.02,0.0191505954050004,0.0984419263456091,0.0,0.09844192634560911
ASSECOPOL,C,ACP,93.0198,228.4,0.0269927028834198,1.4553912177837407,3.007217937505602,1.4877200116266172
BENEFIT,C,BFT,2900.0,3510.0,0.0208281083518313,0.2103448275862069,134.17777632386233,0.25661302631857325
BUDIMEX,C,BDX,458.045,637.8,0.0228694300796115,0.3924396074621488,35.68999225933249,0.4703576990455794
CCC,A,MDV,195.8,119.6,0.0302134745165455,-0.3891726251276813,0.0,-0.38917262512768136
CDPROJEKT,C,CDR,192.798,241.0,0.0218682242334605,0.250012966939491,1.0000049043889376,0.2551997681738863
CYFRPLSAT,C,CPS,14.16,12.2,0.0190871920529066,-0.1384180790960452,0.0,-0.13841807909604525
DINOPL,C,DNP,40.11,41.35,0.0180441740969862,0.0309149837945649,0.0,0.030914983794564997
ENEA,A,ENA,12.6798,19.48,0.0222666116484191,0.536301834413792,0.05712332237971918,0.5408068993501254
JSW,A,JSW,21.55,23.4,0.027107247143757,0.0858468677494198,0.0,0.08584686774941985
KETY,C,KTY,652.512,913.5,0.0157532359063956,0.399974253347065,55.366401284582686,0.48482541514115113
KGHM,A,KGH,117.55,280.8,0.0218922983077653,1.3887707358570822,1.5,1.4015312632922161
KRUK,C,KRU,399.891,493.5,0.01699754097488,0.2340862885136199,17.94706214140083,0.2789661736358177
LPP,C,LPP,15331.2,20810.0,0.020566993335688,0.3573627635149237,609.9499431539584,0.3971476429212298
MBANK,B,MBK,545.8,1061.5,0.0223006430275432,0.9448515939904728,0.0,0.9448515939904729
MILLENNIUM,A,MIL,8.87,16.63,0.0251593931010299,0.874859075535513,0.0,0.874859075535513
ORANGEPL,C,OPL,7.08158,10.19,0.0144901221923898,0.4389444163590611,0.48005212762611915,0.5067332611685694
PEKAO,A,PEO,125.591,205.1,0.0220405208521607,0.6330788034174424,19.198382090353217,0.7859431176625175
PEPCO,B,PCO,16.5164,30.0,0.0237918018548258,0.8163764500738658,0.0,0.8163764500738658
PGE,A,PGE,6.126,8.804,0.0244497958891197,0.4371531178583088,0.0,0.4371531178583088
PKNORLEN,C,PKN,45.8957,96.11,0.0146222771393003,1.0940959610595329,4.1509393204862715,1.1845388417757279
PKOBP,A,PKO,55.2587,85.16,0.0218910498472272,0.5411147927837607,3.8696,0.6111417749603231
PZU,A,PZU,43.0131,66.74,0.0161643478637965,0.5516203203210183,5.123198803042883,0.6707281921796586
RAINBOW,C,RBW,126.102,151.4,0.0207029895734441,0.2006153748552759,8.829989004947773,0.27063796771619625
SANPL,A,SPL,421.818,545.4,0.0221380825486446,0.2929746952477134,45.085751334038704,0.3998590656018442
SYNEKTIK,C,SNT,194.964,272.534,0.0219232846125438,0.3978683244086087,3.0299694142274083,0.41340949823673817
TAURONPE,A,TPE,3.8,8.642,0.0260823808017183,1.2742105263157897,0.0,1.2742105263157895
XTB,C,XTB,67.8012,71.82,0.0198595074624776,0.0592732871984566,5.020003061855008,0.13331331985060746
ZABKA,B,ZAB,20.49,22.9,0.0187201887139599,0.1176183504148365,0.0,0.11761835041483652
